میگو پلویی 70/80	65000  48000
میگو نیمه خشک متوسط با پوست	175000
میگو نیمه خشک پلویی با پوست	150000
شاه میگو نیمه خشک بدون پوست	185000
شاه میگو نیمه خشک با پوست	185000
شاه میگو خشک بدون پوست	230000
شاه میگو خشک با پوست	160000
ماهی متو: خرید، قیمت و مشخصات ماهی متو	
پودر ماهی: خرید، قیمت و مشخصات پودر ماهی	
ماهی خشک متو	
میگو متوسط 60/70	88000  65000
میگو ریز پرورشی	15000
میگو پرورشی60/70	18000
شاه میگو خشک	205000
میگو خشک متوسط	175000
میگو خشک معمولی	175000
میگو خشک ریز	120000  95000
میگو نیمه خشک پلویی بدون پوست	145000
میگو خشک پلویی با پوست	155000
میگو نیمه خشک متوسط بدون پوست	215000
میگو خشک متوسط بدون پوست	275000
میگو خشک پلویی بدون پوست	185000
ماهی کفشک	135000
ماهی هوور	88000
ماهی سرخو: خرید، قیمت و خواص آن	190000
ماهی حلوا سیاه	180000
ماهی سنگسر: خرید، قیمت و خواص ماهی سنگسر	135000
ماهی هامور	245000
فیله ماهی شیر	250000
ماهی زبان	70000
ماهی شهری , شعری	200000
میگو معمولی دریایی	135000
میگو متوسط دریایی	165000
ماهی سه کله (سکن)	130000
ماهی شانک	98000
ماهی شورت	90000
ماهی طوطی	100000
ماهی طلال	85000
میگو پلویی جنوب	130000
شاه میگو تازه 30/35	230000
ماهی بیاح	90000
ماهی راشگو	240000
ماهی سلطان ابراهیم	63000
شاه میگو دریایی U10	430000
میگو متوسط 50/60	165000
میگو متوسط 40/50	180000
ماهی قدر چنگو دم زرد	140000
ماهی قدر چنگو دم سیاه	95000
ماهی شوریده کوچک	99000
ماهی شوریده متوسط	145000
ماهی شوریده بزرگ	185000
ماهی گیش مقوا	105000
ماهی چمن	120000
ماهی سرخو دندونی	110000
ماهی شیر: خرید، قیمت و خواص شیر ماهی	185000
ماهی شیر متوسط	140000
ماهی شیر بزرگ	185000
ماهی حلوا سفید کوچک	195000
ماهی حلوا سفید متوسط	290000
خرید، قیمت و مشخصات ماهی حلوا سفید	591000
شاه میگو 20/25	290000
میگو ببری دریایی	245000
ماهی سارم	70000
